IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.178.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,389,0.00
8.210.9.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,390,0.00
8.210.9.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,391,0.00
47.76.94.15,8880,8880,false,HKG,Asia Pacific,Hong Kong,391,0.00
8.210.66.190,2086,2086,false,HKG,Asia Pacific,Hong Kong,392,0.00
8.218.48.92,2082,2082,false,HKG,Asia Pacific,Hong Kong,393,0.00
8.210.65.1,80,80,false,HKG,Asia Pacific,Hong Kong,394,0.00
47.76.32.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,394,0.00
8.218.2.181,2086,2086,false,HKG,Asia Pacific,Hong Kong,395,0.00
47.242.125.241,80,80,false,HKG,Asia Pacific,Hong Kong,395,0.00
8.210.146.108,8080,8080,false,HKG,Asia Pacific,Hong Kong,396,0.00
8.217.145.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,396,0.00
8.210.174.156,8080,8080,false,HKG,Asia Pacific,Hong Kong,397,0.00
8.210.174.156,2095,2095,false,HKG,Asia Pacific,Hong Kong,400,0.00
47.242.54.157,2095,2095,false,HKG,Asia Pacific,Hong Kong,400,0.00
8.218.204.128,80,80,false,HKG,Asia Pacific,Hong Kong,405,0.00
8.217.145.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,409,0.00
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,410,0.00
47.243.27.217,8080,8080,false,HKG,Asia Pacific,Hong Kong,411,0.00
47.242.54.157,2052,2052,false,HKG,Asia Pacific,Hong Kong,411,0.00
8.219.66.156,2052,2052,false,NRT,Asia Pacific,Tokyo,411,0.00
47.242.125.241,8880,8880,false,HKG,Asia Pacific,Hong Kong,412,0.00
8.217.159.210,2052,2052,false,HKG,Asia Pacific,Hong Kong,412,0.00
8.217.251.62,8880,8880,false,HKG,Asia Pacific,Hong Kong,413,0.00
8.218.11.90,80,80,false,HKG,Asia Pacific,Hong Kong,413,0.00
8.218.65.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,413,0.00
47.242.176.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,414,0.00
8.217.248.220,2052,2052,false,HKG,Asia Pacific,Hong Kong,415,0.00
47.76.178.146,80,80,false,HKG,Asia Pacific,Hong Kong,415,0.00
8.217.221.165,2082,2082,false,HKG,Asia Pacific,Hong Kong,421,0.00
47.76.94.15,80,80,false,HKG,Asia Pacific,Hong Kong,423,0.00
